employee_id,first_name,last_name,email,job_title,cost_centre_code,hire_date,termination_date,annual_salary_gbp
1001,Isobel,Lindqvist,isobel.lindqvist@ashcombe.example,Managing Director,CC100,2018-12-10,,89023.0
1002,Rhys,Donnelly,rhys.donnelly@ashcombe.example,Executive Assistant,CC100,10/05/2020,,47488.0
1003,Oscar,Ikeda,OSCAR.IKEDA@ASHCOMBE.EXAMPLE,HR Manager,CC100,30-Oct-2023,,43029.0
1004,Oscar,Nowak,oscar.nowak@ashcombe.example,HR Manager,CC100,2016-07-31,,27926.0
1005,Bhavin,Thackeray,bhavin.thackeray@ashcombe.example,Area Sales Manager,CC200,04/01/2022,,88247.0
1006,Eleanor,Ikeda,eleanor.ikeda@ashcombe.example,Account Manager,CC200,28-May-2016,,46803.0
1007,Tomas,Yardley,tomas.yardley@ashcombe.example,Sales Executive,CC200,2014-10-15,,48555.0
1008,Aidan,Gallagher,aidan.gallagher@ashcombe.example,Sales Executive,,27/09/2015,,31105.0
1009,Heidi,Kowalski,heidi.kowalski@ashcombe.example,Sales Executive,CC200,31-Mar-2018,,28281.0
1010,Heidi,Lindqvist,heidi.lindqvist@ashcombe.example,Sales Executive,CC200,2014-01-06,,31108.0
1011,Wendy,Rasmussen,wendy.rasmussen@ashcombe.example,Sales Executive,CC200,28/11/2021,,36210.0
1012,Katrina,Donnelly,KATRINA.DONNELLY@ASHCOMBE.EXAMPLE,Sales Executive,CC200,02-Dec-2017,,30258.0
1013,Oscar,Chatterjee,oscar.chatterjee@ashcombe.example,Sales Executive,CC200,2017-01-24,,34805.0
1014,Fiona,Rasmussen,fiona.rasmussen@ashcombe.example,Sales Executive,CC200,07/11/2015,,27672.000000000004
1015,Delphine,Ogilvie,delphine.ogilvie@ashcombe.example,Sales Executive,CC200,03-Mar-2018,,34373.0
1016,Gareth,Ainsworth,gareth.ainsworth@ashcombe.example,Sales Executive,CC200,2017-06-26,,32372.000000000004
1017,Tomas,Dunmore,tomas.dunmore@ashcombe.example,Area Sales Manager,CC210,17/05/2020,,87927.0
1018,Bridget,Ogilvie,bridget.ogilvie@ashcombe.example,Account Manager,CC210,29-Jun-2015,,51362.0
1019,Marta,Ainsworth,marta.ainsworth@ashcombe.example,Sales Executive,CC210,2020-05-10,,46153.0
1020,Bridget,Eastwood,bridget.eastwood@ashcombe.example,Sales Executive,CC210,27/08/2022,,28945.999999999996
1021,Nadia,Ikeda,NADIA.IKEDA@ASHCOMBE.EXAMPLE,Sales Executive,CC210,06-May-2021,,31492.0
1022,Stefan,Barrow,stefan.barrow@ashcombe.example,Sales Executive,CC210,2013-06-10,,30480.0
1023,Xiaoli,Quirke,xiaoli.quirke@ashcombe.example,Sales Executive,CC210,30/11/2013,29-Feb-2016,35149.0
1024,Callum,Lindqvist,callum.lindqvist@ashcombe.example,Sales Executive,CC210,30-May-2022,,27449.0
1025,Rhys,Rasmussen,rhys.rasmussen@ashcombe.example,Sales Executive,CC210,2016-12-25,,30149.0
1026,Delphine,Lindqvist,delphine.lindqvist@ashcombe.example,Sales Executive,CC210,14/11/2023,,31637.0
1027,Hamish,Gallagher,hamish.gallagher@ashcombe.example,Sales Executive,,12-Jul-2020,,35640.0
1028,Isobel,Zieliński,isobel.zieliński@ashcombe.example,Sales Executive,CC210,2022-12-27,,34779.0
1029,Zara,Kowalski,zara.kowalski@ashcombe.example,Sales Executive,CC210,11/09/2017,,33458.0
1030,Catherine,Jarvis,CATHERINE.JARVIS@ASHCOMBE.EXAMPLE,Sales Executive,CC210,14-Aug-2023,,29298.0
1031,Bhavin,Underhill,bhavin.underhill@ashcombe.example,Export Sales Manager,CC220,2022-08-30,,77831.0
1032,Catherine,Nowak,catherine.nowak@ashcombe.example,Export Coordinator,CC220,26/12/2015,,42158.0
1033,Daniel,Corrigan,daniel.corrigan@ashcombe.example,Export Coordinator,CC220,15-Apr-2021,,50300.0
1034,Heidi,Underhill,heidi.underhill@ashcombe.example,Export Coordinator,CC220,2018-04-19,,29558.0
1035,Ursula,Ogilvie,ursula.ogilvie@ashcombe.example,Export Coordinator,CC220,17/03/2016,,30858.0
1036,Malachy,Sandoval,malachy.sandoval@ashcombe.example,Export Coordinator,CC220,14-Feb-2013,2022-05-22,32737.0
1037,Petra,Hollingworth,petra.hollingworth@ashcombe.example,Warehouse Manager,CC300,2017-06-27,,88603.0
1038,Callum,Sandoval,callum.sandoval@ashcombe.example,Forklift Operator,CC300,25/05/2017,,43096.0
1039,Ursula,Evershed,URSULA.EVERSHED@ASHCOMBE.EXAMPLE,Goods In Clerk,CC300,15-Jan-2023,,54019.00000000001
1040,Bridget,Fairbairn,bridget.fairbairn@ashcombe.example,Goods In Clerk,CC300,2013-09-12,,28835.000000000004
1041,Nadia,Eastwood,nadia.eastwood@ashcombe.example,Goods In Clerk,CC300,01/11/2017,,27289.999999999996
1042,Eleanor,Barrow,eleanor.barrow@ashcombe.example,Goods In Clerk,CC300,03-Apr-2016,,34097.0
1043,Lucia,Lindqvist,lucia.lindqvist@ashcombe.example,Goods In Clerk,CC300,2020-10-27,,30963.0
1044,Stefan,Ikeda,stefan.ikeda@ashcombe.example,Goods In Clerk,CC300,23/10/2019,,31669.0
1045,Xiaoli,Ainsworth,xiaoli.ainsworth@ashcombe.example,Goods In Clerk,CC300,13-Jun-2015,,32436.0
1046,Tomas,Rasmussen,tomas.rasmussen@ashcombe.example,Goods In Clerk,,2018-01-13,,32100.0
1047,Bridget,Chatterjee,bridget.chatterjee@ashcombe.example,Goods In Clerk,CC300,02/04/2019,,33052.0
1048,Lucia,Thackeray,LUCIA.THACKERAY@ASHCOMBE.EXAMPLE,Goods In Clerk,CC300,02-Feb-2020,,33329.0
1049,Zara,Corrigan,zara.corrigan@ashcombe.example,Goods In Clerk,CC300,2018-11-05,,36036.0
1050,Lucia,Hollingworth,lucia.hollingworth@ashcombe.example,Goods In Clerk,CC300,15/03/2015,,34871.0
1051,Ewan,Sandoval,ewan.sandoval@ashcombe.example,Goods In Clerk,CC300,18-Sep-2020,,27502.999999999996
1052,Delphine,Underhill,delphine.underhill@ashcombe.example,Goods In Clerk,CC300,2022-01-07,,34352.0
1053,Rosa,Thackeray,rosa.thackeray@ashcombe.example,Production Manager,CC400,15/11/2013,24-Oct-2017,70959.0
1054,Liam,Pemberton,liam.pemberton@ashcombe.example,Machine Operator,CC400,15-Jul-2014,,41543.0
1055,Lucia,Ashby,lucia.ashby@ashcombe.example,Quality Inspector,CC400,2017-03-03,,53932.00000000001
1056,Gareth,Yardley,gareth.yardley@ashcombe.example,Quality Inspector,CC400,05/07/2015,,34371.0
1057,Isobel,Donnelly,ISOBEL.DONNELLY@ASHCOMBE.EXAMPLE,Quality Inspector,CC400,02-Jun-2022,,36374.0
1058,Terence,Vasquez,terence.vasquez@ashcombe.example,Quality Inspector,CC400,2020-06-30,,35484.0
1059,Lucia,Quirke,lucia.quirke@ashcombe.example,Quality Inspector,CC400,09/04/2020,,34069.0
1060,Bridget,Thackeray,bridget.thackeray@ashcombe.example,Quality Inspector,CC400,16-Feb-2013,,28679.000000000004
1061,Daniel,Ainsworth,daniel.ainsworth@ashcombe.example,Quality Inspector,CC400,2023-10-16,,31024.0
1062,Ewan,Nowak,ewan.nowak@ashcombe.example,Quality Inspector,CC400,10/04/2014,,35024.0
1063,Alice,Lindqvist,alice.lindqvist@ashcombe.example,Quality Inspector,CC400,18-Apr-2015,,29970.999999999996
1064,Fiona,Zieliński,fiona.zieliński@ashcombe.example,Quality Inspector,CC400,2015-06-21,,35361.0
1065,Alice,Nowak,alice.nowak@ashcombe.example,Quality Inspector,,04/08/2016,,36382.0
1066,Alice,Jarvis,ALICE.JARVIS@ASHCOMBE.EXAMPLE,Quality Inspector,CC400,27-Feb-2021,,34517.0
1067,Callum,Nowak,callum.nowak@ashcombe.example,Quality Inspector,CC400,2022-06-12,,32450.0
1068,Quentin,Corrigan,quentin.corrigan@ashcombe.example,Quality Inspector,CC400,30/06/2018,,29302.999999999996
1069,Priya,Fairbairn,priya.fairbairn@ashcombe.example,Quality Inspector,CC400,18-Jul-2016,2022-12-12,35297.0
1070,Niall,Ogilvie,niall.ogilvie@ashcombe.example,Quality Inspector,CC400,2015-08-01,,34550.0
1071,Alice,Rasmussen,alice.rasmussen@ashcombe.example,Finance Director,CC500,21/02/2023,,73510.0
1072,Isobel,Thackeray,isobel.thackeray@ashcombe.example,Management Accountant,CC500,13-Oct-2015,,45662.0
1073,Isobel,Kowalski,isobel.kowalski@ashcombe.example,Purchase Ledger Clerk,CC500,2015-09-18,,53947.0
1074,Aidan,Nowak,aidan.nowak@ashcombe.example,Sales Ledger Clerk,CC500,08/04/2020,,34908.0
1075,Grace,Quirke,GRACE.QUIRKE@ASHCOMBE.EXAMPLE,Payroll Officer,CC500,06-Jan-2018,,32836.0
1076,Grace,Ashby,grace.ashby@ashcombe.example,Payroll Officer,CC500,2017-08-24,,34774.0
1077,Joanna,Thackeray,joanna.thackeray@ashcombe.example,Payroll Officer,CC500,05/08/2020,,30517.0
1078,Priya,Eastwood,priya.eastwood@ashcombe.example,IT Manager,CC600,08-Sep-2017,,84182.0
1079,Liam,Barrow,liam.barrow@ashcombe.example,Systems Administrator,CC600,2014-06-03,,50860.0
1080,Farhan,Ikeda,farhan.ikeda@ashcombe.example,Support Analyst,CC600,27/07/2017,,41902.0
1081,Callum,Vasquez,callum.vasquez@ashcombe.example,Support Analyst,CC600,23-Mar-2020,,34935.0
1082,Tomas,Kowalski,tomas.kowalski@ashcombe.example,Support Analyst,CC600,2020-03-20,,29002.0
